Kod pocztowy,Powiat,Gmina
78-530,drawski,Wierzchowo
83-422,kościerski,Nowa Karczma
66-112,zielonogórski,Czerwieńsk
95-040,łódzki wschodni,Koluszki
28-506,kazimierski,Czarnocin
76-220,słupski,Główczyce
62-704,turecki,Kawęczyn
39-127,ropczycko-,Sędziszów Małopolski
39-124,ropczycko-,Iwierzyce
72-405,kamieński,Świerzno
83-000,gdański,Pruszcz Gdański
63-450,ostrowski,Ostrów Wielkopolski
32-860,brzeski,Czchów
42-500,będziński,Będzin
42-506,będziński,Będzin
42-504,będziński,Będzin
76-037,koszaliński,Będzino
88-180,inowrocławski,Złotniki Kujawskie
09-300,żuromiński,Żuromin
89-652,chojnicki,Czersk
11-311,olsztyński,Kolno
46-022,opolski,Łubniany
98-405,wieruszowski,Galewice
63-645,kępiński,Łęka Opatowska
63-714,krotoszyński,Krotoszyn
32-828,tarnowski,Wojnicz
18-500,kolneński,Kolno
59-225,legnicki,Chojnów
58-123,świdnicki,Marcinowice
33-100,tarnowski,Tarnów
09-411,płocki,Stara Biała
48-210,prudnicki,Biała
77-222,bytowski,Miastko
84-215,wejherowski,Wejherowo
42-125,kłobucki,Kłobuck
64-904,czarnkowsko-,Trzcianka
64-730,czarnkowsko-,Wieleń
73-130,stargardzki,Dobrzany
78-421,szczecinecki,Biały Bór
42-427,zawierciański,Kroczyce
23-300,janowski,Janów Lubelski
98-350,wieluński,Biała
99-220,poddębicki,Wartkowice
97-505,radomszczański,Dobryszyce
26-804,białobrzeski,Stromiec
14-260,iławski,Lubawa
82-340,elbląski,Tolkmicko
33-330,nowosądecki,Grybów
48-303,nyski,Nysa
62-574,koniński,Rychwał
21-500,Biała Podlaska,Biała Podlaska
17-250,hajnowski,Kleszczele
42-235,częstochowski,Lelów
57-512,kłodzki,Bystrzyca Kłodzka
16-402,suwalski,Suwałki
11-135,lidzbarski,Lubomino
83-210,starogardzki,Zblewo
26-307,opoczyński,Białaczów
19-200,grajewski,Grajewo
24-224,lubelski,Borzechów
33-312,nowosądecki,Łososina Dolna
66-460,gorzowski,Witnica
64-412,międzychodzki,Chrzypsko Wielkie
14-520,braniewski,Pieniężno
86-010,bydgoski,Koronowo
09-504,gostyniński,Gostynin
78-400,szczecinecki,Szczecinek
86-005,bydgoski,Białe Błota
87-617,lipnowski,Bobrowniki
88-306,mogileński,Dąbrowa
06-120,pułtuski,Winnica
89-641,chojnicki,Chojnice
62-320,wrzesiński,Miłosław
07-325,ostrowski,Boguty-Pianki
97-350,piotrkowski,Gorzkowice
76-129,sławieński,Malechowo
62-095,poznański,Murowana Goślina
64-700,czarnkowsko-,Czarnków
22-300,krasnostawski,Krasnystaw
34-220,suski,Maków Podhalański
36-030,rzeszowski,Błażowa
14-105,ostródzki,Łukta
34-405,tatrzański,Bukowina Tatrzańska
08-110,siedlecki,Siedlce
05-240,wołomiński,Tłuszcz
82-522,kwidzyński,Sadlinki
08-504,rycki,Ułęż
09-442,płocki,Radzanowo
55-330,średzki,Miękinia
69-108,słubicki,Cybinka
68-300,żarski,Lubsko
62-604,kolski,Kościelec
66-425,gorzowski,Deszczno
16-123,sokólski,Kuźnica
86-341,grudziądzki,Świecie nad Osą
63-308,pleszewski,Gizałki
37-207,przeworski,Gać
28-130,buski,Stopnica
62-311,wrzesiński,Pyzdry
07-415,ostrołęcki,Olszewo-Borki
07-416,ostrołęcki,Olszewo-Borki
22-400,zamojski,Zamość
26-800,białobrzeski,Białobrzegi
08-320,sokołowski,Sterdyń
37-114,łańcucki,Białobrzegi
57-150,strzeliński,Kondratowice
86-302,grudziądzki,Rogóźno
86-318,grudziądzki,Rogóźno
78-200,białogardzki,Białogard
16-120,sokólski,Krynki
84-113,pucki,Krokowa
59-900,zgorzelecki,Zgorzelec
78-123,kołobrzeski,Siemyśl
67-221,głogowski,Pęcław
59-921,zgorzelecki,Bogatynia
22-135,chełmski,Białopole
09-212,sierpecki,Sierpc
15-592,białostocki,Zabłudów
19-110,moniecki,Goniądz
89-340,pilski,Białośliwie
16-130,sokólski,Janów
78-452,szczecinecki,Barwice
66-010,zielonogórski,Nowogród Bobrzański
89-115,nakielski,Mrocza
89-500,tucholski,Tuchola
06-100,pułtuski,Pułtusk
48-388,nyski,Kamiennik
17-230,hajnowski,Białowieża
24-300,opolski,Opole Lubelskie
88-400,żniński,Żnin
72-100,goleniowski,Goleniów
73-113,stargardzki,Stara Dąbrowa
07-430,ostrołęcki,Myszyniec
05-084,warszawski zachodni,Błonie
05-870,warszawski zachodni,Błonie
13-240,działdowski,Iłowo-Osada
39-321,mielecki,Przecław
78-425,szczecinecki,Biały Bór
34-425,tatrzański,Biały Dunajec
63-720,krotoszyński,Koźmin Wielkopolski
12-140,szczycieński,Świętajno
57-100,strzeliński,Strzelin
05-505,piaseczyński,Prażmów
78-540,drawski,Kalisz Pomorski
78-314,świdwiński,Sławoborze
63-920,rawicki,Pakosław
96-130,skierniewicki,Głuchów
22-540,hrubieszowski,Dołhobyczów
15-871,Białystok,Białystok
15-197,Białystok,Białystok
15-156,Białystok,Białystok
15-583,Białystok,Białystok
15-801,Białystok,Białystok
15-267,Białystok,Białystok
15-680,Białystok,Białystok
15-587,Białystok,Białystok
15-445,Białystok,Białystok
15-443,Białystok,Białystok
15-444,Białystok,Białystok
15-446,Białystok,Białystok
15-088,Białystok,Białystok
15-160,Białystok,Białystok
15-157,Białystok,Białystok
15-584,Białystok,Białystok
15-124,Białystok,Białystok
15-113,Białystok,Białystok
15-685,Białystok,Białystok
15-204,Białystok,Białystok
15-386,Białystok,Białystok
15-376,Białystok,Białystok
15-410,Białystok,Białystok
15-166,Białystok,Białystok
15-762,Białystok,Białystok
15-741,Białystok,Białystok
15-740,Białystok,Białystok
15-845,Białystok,Białystok
15-698,Białystok,Białystok
15-661,Białystok,Białystok
15-875,Białystok,Białystok
15-709,Białystok,Białystok
15-686,Białystok,Białystok
15-571,Białystok,Białystok
15-218,Białystok,Białystok
15-187,Białystok,Białystok
15-681,Białystok,Białystok
15-196,Białystok,Białystok
15-189,Białystok,Białystok
15-578,Białystok,Białystok
15-169,Białystok,Białystok
15-611,Białystok,Białystok
15-554,Białystok,Białystok
15-544,Białystok,Białystok
15-501,Białystok,Białystok
15-517,Białystok,Białystok
15-639,Białystok,Białystok
15-531,Białystok,Białystok
15-253,Białystok,Białystok
15-634,Białystok,Białystok
15-110,Białystok,Białystok
15-369,Białystok,Białystok
15-370,Białystok,Białystok
15-591,Białystok,Białystok
15-161,Białystok,Białystok
15-434,Białystok,Białystok
15-628,Białystok,Białystok
15-869,Białystok,Białystok
15-236,Białystok,Białystok
15-437,Białystok,Białystok
15-852,Białystok,Białystok
15-102,Białystok,Białystok
15-103,Białystok,Białystok
15-788,Białystok,Białystok
15-136,Białystok,Białystok
15-649,Białystok,Białystok
15-533,Białystok,Białystok
15-181,Białystok,Białystok
15-450,Białystok,Białystok
15-873,Białystok,Białystok
15-057,Białystok,Białystok
15-569,Białystok,Białystok
15-872,Białystok,Białystok
15-198,Białystok,Białystok
15-239,Białystok,Białystok
15-085,Białystok,Białystok
15-260,Białystok,Białystok
15-341,Białystok,Białystok
15-642,Białystok,Białystok
15-195,Białystok,Białystok
15-748,Białystok,Białystok
15-730,Białystok,Białystok
15-573,Białystok,Białystok
15-889,Białystok,Białystok
15-594,Białystok,Białystok
15-867,Białystok,Białystok
15-199,Białystok,Białystok
15-809,Białystok,Białystok
15-782,Białystok,Białystok
15-796,Białystok,Białystok
15-066,Białystok,Białystok
15-585,Białystok,Białystok
15-864,Białystok,Białystok
15-380,Białystok,Białystok
15-758,Białystok,Białystok
15-560,Białystok,Białystok
15-798,Białystok,Białystok
15-394,Białystok,Białystok
15-673,Białystok,Białystok
15-561,Białystok,Białystok
15-188,Białystok,Białystok
15-372,Białystok,Białystok
15-697,Białystok,Białystok
15-185,Białystok,Białystok
15-473,Białystok,Białystok
15-134,Białystok,Białystok
15-074,Białystok,Białystok
15-732,Białystok,Białystok
15-144,Białystok,Białystok
15-177,Białystok,Białystok
15-891,Białystok,Białystok
15-237,Białystok,Białystok
15-128,Białystok,Białystok
15-472,Białystok,Białystok
15-542,Białystok,Białystok
15-371,Białystok,Białystok
15-245,Białystok,Białystok
15-264,Białystok,Białystok
15-545,Białystok,Białystok
15-516,Białystok,Białystok
15-812,Białystok,Białystok
15-597,Białystok,Białystok
15-094,Białystok,Białystok
15-097,Białystok,Białystok
15-096,Białystok,Białystok
15-275,Białystok,Białystok
15-276,Białystok,Białystok
15-278,Białystok,Białystok
15-407,Białystok,Białystok
15-822,Białystok,Białystok
15-268,Białystok,Białystok
15-395,Białystok,Białystok
15-038,Białystok,Białystok
15-580,Białystok,Białystok
15-625,Białystok,Białystok
15-431,Białystok,Białystok
15-459,Białystok,Białystok
15-463,Białystok,Białystok
15-791,Białystok,Białystok
15-037,Białystok,Białystok
15-702,Białystok,Białystok
15-381,Białystok,Białystok
15-765,Białystok,Białystok
15-034,Białystok,Białystok
15-555,Białystok,Białystok
15-572,Białystok,Białystok
15-581,Białystok,Białystok
15-254,Białystok,Białystok
15-557,Białystok,Białystok
15-171,Białystok,Białystok
15-265,Białystok,Białystok
15-349,Białystok,Białystok
15-614,Białystok,Białystok
15-756,Białystok,Białystok
15-257,Białystok,Białystok
15-777,Białystok,Białystok
15-786,Białystok,Białystok
15-363,Białystok,Białystok
15-806,Białystok,Białystok
15-579,Białystok,Białystok
15-692,Białystok,Białystok
15-080,Białystok,Białystok
15-620,Białystok,Białystok
15-568,Białystok,Białystok
15-690,Białystok,Białystok
15-482,Białystok,Białystok
15-483,Białystok,Białystok
15-120,Białystok,Białystok
15-119,Białystok,Białystok
15-767,Białystok,Białystok
15-725,Białystok,Białystok
15-327,Białystok,Białystok
15-255,Białystok,Białystok
15-616,Białystok,Białystok
15-191,Białystok,Białystok
15-703,Białystok,Białystok
15-794,Białystok,Białystok
15-712,Białystok,Białystok
15-249,Białystok,Białystok
15-133,Białystok,Białystok
15-182,Białystok,Białystok
15-206,Białystok,Białystok
15-858,Białystok,Białystok
15-068,Białystok,Białystok
15-261,Białystok,Białystok
15-839,Białystok,Białystok
15-861,Białystok,Białystok
15-336,Białystok,Białystok
15-553,Białystok,Białystok
15-574,Białystok,Białystok
15-582,Białystok,Białystok
15-151,Białystok,Białystok
15-470,Białystok,Białystok
15-342,Białystok,Białystok
15-423,Białystok,Białystok
15-107,Białystok,Białystok
15-769,Białystok,Białystok
15-174,Białystok,Białystok
15-225,Białystok,Białystok
15-706,Białystok,Białystok
15-893,Białystok,Białystok
15-666,Białystok,Białystok
15-612,Białystok,Białystok
15-684,Białystok,Białystok
15-672,Białystok,Białystok
15-854,Białystok,Białystok
15-814,Białystok,Białystok
15-162,Białystok,Białystok
15-399,Białystok,Białystok
15-347,Białystok,Białystok
15-193,Białystok,Białystok
15-779,Białystok,Białystok
15-727,Białystok,Białystok
15-682,Białystok,Białystok
15-633,Białystok,Białystok
15-659,Białystok,Białystok
15-235,Białystok,Białystok
15-558,Białystok,Białystok
15-006,Białystok,Białystok
15-135,Białystok,Białystok
15-250,Białystok,Białystok
15-480,Białystok,Białystok
15-753,Białystok,Białystok
15-810,Białystok,Białystok
15-013,Białystok,Białystok
15-014,Białystok,Białystok
15-090,Białystok,Białystok
15-704,Białystok,Białystok
15-186,Białystok,Białystok
15-793,Białystok,Białystok
15-532,Białystok,Białystok
15-808,Białystok,Białystok
15-539,Białystok,Białystok
15-818,Białystok,Białystok
15-805,Białystok,Białystok
15-541,Białystok,Białystok
15-101,Białystok,Białystok
15-375,Białystok,Białystok
15-507,Białystok,Białystok
15-021,Białystok,Białystok
15-393,Białystok,Białystok
15-140,Białystok,Białystok
15-190,Białystok,Białystok
15-548,Białystok,Białystok
15-130,Białystok,Białystok
15-797,Białystok,Białystok
15-803,Białystok,Białystok
15-324,Białystok,Białystok
15-325,Białystok,Białystok
15-817,Białystok,Białystok
15-503,Białystok,Białystok
15-149,Białystok,Białystok
15-387,Białystok,Białystok
15-089,Białystok,Białystok
15-361,Białystok,Białystok
15-453,Białystok,Białystok
15-691,Białystok,Białystok
15-654,Białystok,Białystok
15-562,Białystok,Białystok
15-722,Białystok,Białystok
15-416,Białystok,Białystok
15-701,Białystok,Białystok
15-505,Białystok,Białystok
15-774,Białystok,Białystok
15-256,Białystok,Białystok
15-687,Białystok,Białystok
15-711,Białystok,Białystok
15-215,Białystok,Białystok
15-776,Białystok,Białystok
15-674,Białystok,Białystok
15-377,Białystok,Białystok
15-397,Białystok,Białystok
15-396,Białystok,Białystok
15-570,Białystok,Białystok
15-650,Białystok,Białystok
15-519,Białystok,Białystok
15-710,Białystok,Białystok
15-046,Białystok,Białystok
15-087,Białystok,Białystok
15-868,Białystok,Białystok
15-155,Białystok,Białystok
15-024,Białystok,Białystok
15-025,Białystok,Białystok
15-345,Białystok,Białystok
15-534,Białystok,Białystok
15-346,Białystok,Białystok
15-576,Białystok,Białystok
15-575,Białystok,Białystok
15-164,Białystok,Białystok
15-114,Białystok,Białystok
15-242,Białystok,Białystok
15-626,Białystok,Białystok
15-552,Białystok,Białystok
15-537,Białystok,Białystok
15-099,Białystok,Białystok
15-281,Białystok,Białystok
15-811,Białystok,Białystok
15-559,Białystok,Białystok
15-651,Białystok,Białystok
15-321,Białystok,Białystok
15-108,Białystok,Białystok
15-420,Białystok,Białystok
15-424,Białystok,Białystok
15-427,Białystok,Białystok
15-356,Białystok,Białystok
15-320,Białystok,Białystok
15-563,Białystok,Białystok
15-665,Białystok,Białystok
15-373,Białystok,Białystok
15-183,Białystok,Białystok
15-252,Białystok,Białystok
15-262,Białystok,Białystok
15-757,Białystok,Białystok
15-163,Białystok,Białystok
15-017,Białystok,Białystok
15-391,Białystok,Białystok
15-549,Białystok,Białystok
15-669,Białystok,Białystok
15-440,Białystok,Białystok
15-543,Białystok,Białystok
15-724,Białystok,Białystok
15-402,Białystok,Białystok
15-881,Białystok,Białystok
15-301,Białystok,Białystok
15-302,Białystok,Białystok
15-326,Białystok,Białystok
15-213,Białystok,Białystok
15-222,Białystok,Białystok
15-232,Białystok,Białystok
15-223,Białystok,Białystok
15-145,Białystok,Białystok
15-054,Białystok,Białystok
15-419,Białystok,Białystok
15-772,Białystok,Białystok
15-656,Białystok,Białystok
15-411,Białystok,Białystok
15-404,Białystok,Białystok
15-405,Białystok,Białystok
15-238,Białystok,Białystok
15-535,Białystok,Białystok
15-414,Białystok,Białystok
15-192,Białystok,Białystok
15-802,Białystok,Białystok
15-111,Białystok,Białystok
15-577,Białystok,Białystok
15-678,Białystok,Białystok
15-840,Białystok,Białystok
15-540,Białystok,Białystok
15-631,Białystok,Białystok
15-632,Białystok,Białystok
15-613,Białystok,Białystok
15-343,Białystok,Białystok
15-489,Białystok,Białystok
15-490,Białystok,Białystok
15-115,Białystok,Białystok
15-617,Białystok,Białystok
15-205,Białystok,Białystok
15-551,Białystok,Białystok
15-234,Białystok,Białystok
15-688,Białystok,Białystok
15-032,Białystok,Białystok
15-104,Białystok,Białystok
15-536,Białystok,Białystok
15-337,Białystok,Białystok
15-338,Białystok,Białystok
15-143,Białystok,Białystok
15-139,Białystok,Białystok
15-863,Białystok,Białystok
15-615,Białystok,Białystok
15-717,Białystok,Białystok
15-879,Białystok,Białystok
15-335,Białystok,Białystok
15-627,Białystok,Białystok
15-645,Białystok,Białystok
15-655,Białystok,Białystok
15-091,Białystok,Białystok
15-426,Białystok,Białystok
15-421,Białystok,Białystok
15-008,Białystok,Białystok
15-773,Białystok,Białystok
15-150,Białystok,Białystok
15-211,Białystok,Białystok
15-780,Białystok,Białystok
15-127,Białystok,Białystok
15-621,Białystok,Białystok
15-856,Białystok,Białystok
15-092,Białystok,Białystok
15-432,Białystok,Białystok
15-004,Białystok,Białystok
15-002,Białystok,Białystok
15-003,Białystok,Białystok
15-005,Białystok,Białystok
15-288,Białystok,Białystok
15-667,Białystok,Białystok
15-023,Białystok,Białystok
15-850,Białystok,Białystok
15-165,Białystok,Białystok
15-109,Białystok,Białystok
15-048,Białystok,Białystok
15-663,Białystok,Białystok
15-323,Białystok,Białystok
15-660,Białystok,Białystok
15-028,Białystok,Białystok
15-029,Białystok,Białystok
15-229,Białystok,Białystok
15-865,Białystok,Białystok
15-751,Białystok,Białystok
15-887,Białystok,Białystok
15-348,Białystok,Białystok
15-040,Białystok,Białystok
15-715,Białystok,Białystok
15-019,Białystok,Białystok
15-441,Białystok,Białystok
15-175,Białystok,Białystok
15-825,Białystok,Białystok
15-073,Białystok,Białystok
15-670,Białystok,Białystok
15-030,Białystok,Białystok
15-071,Białystok,Białystok
15-556,Białystok,Białystok
15-131,Białystok,Białystok
15-644,Białystok,Białystok
15-662,Białystok,Białystok
15-771,Białystok,Białystok
15-283,Białystok,Białystok
15-565,Białystok,Białystok
15-567,Białystok,Białystok
15-093,Białystok,Białystok
15-422,Białystok,Białystok
15-401,Białystok,Białystok
15-862,Białystok,Białystok
15-007,Białystok,Białystok
15-263,Białystok,Białystok
15-760,Białystok,Białystok
15-640,Białystok,Białystok
15-295,Białystok,Białystok
15-671,Białystok,Białystok
15-266,Białystok,Białystok
15-714,Białystok,Białystok
15-506,Białystok,Białystok
15-328,Białystok,Białystok
15-082,Białystok,Białystok
15-277,Białystok,Białystok
15-843,Białystok,Białystok
15-153,Białystok,Białystok
15-693,Białystok,Białystok
15-365,Białystok,Białystok
15-689,Białystok,Białystok
15-415,Białystok,Białystok
15-618,Białystok,Białystok
15-746,Białystok,Białystok
15-170,Białystok,Białystok
15-646,Białystok,Białystok
15-836,Białystok,Białystok
15-340,Białystok,Białystok
15-403,Białystok,Białystok
15-668,Białystok,Białystok
15-240,Białystok,Białystok
15-547,Białystok,Białystok
15-132,Białystok,Białystok
15-062,Białystok,Białystok
15-063,Białystok,Białystok
15-077,Białystok,Białystok
15-201,Białystok,Białystok
15-078,Białystok,Białystok
15-637,Białystok,Białystok
15-429,Białystok,Białystok
15-461,Białystok,Białystok
15-460,Białystok,Białystok
15-258,Białystok,Białystok
15-117,Białystok,Białystok
15-137,Białystok,Białystok
15-178,Białystok,Białystok
15-118,Białystok,Białystok
15-269,Białystok,Białystok
15-274,Białystok,Białystok
15-304,Białystok,Białystok
15-638,Białystok,Białystok
15-481,Białystok,Białystok
15-123,Białystok,Białystok
15-122,Białystok,Białystok
15-679,Białystok,Białystok
15-307,Białystok,Białystok
15-306,Białystok,Białystok
15-311,Białystok,Białystok
15-121,Białystok,Białystok
15-827,Białystok,Białystok
15-833,Białystok,Białystok
15-647,Białystok,Białystok
15-351,Białystok,Białystok
15-352,Białystok,Białystok
15-546,Białystok,Białystok
15-743,Białystok,Białystok
15-070,Białystok,Białystok
15-819,Białystok,Białystok
15-322,Białystok,Białystok
15-795,Białystok,Białystok
15-388,Białystok,Białystok
15-129,Białystok,Białystok
15-464,Białystok,Białystok
15-465,Białystok,Białystok
15-202,Białystok,Białystok
15-270,Białystok,Białystok
15-287,Białystok,Białystok
15-272,Białystok,Białystok
15-309,Białystok,Białystok
15-271,Białystok,Białystok
15-208,Białystok,Białystok
15-209,Białystok,Białystok
15-055,Białystok,Białystok
15-813,Białystok,Białystok
15-158,Białystok,Białystok
15-184,Białystok,Białystok
15-126,Białystok,Białystok
15-167,Białystok,Białystok
15-168,Białystok,Białystok
15-829,Białystok,Białystok
15-754,Białystok,Białystok
15-888,Białystok,Białystok
15-487,Białystok,Białystok
15-180,Białystok,Białystok
15-138,Białystok,Białystok
15-564,Białystok,Białystok
15-820,Białystok,Białystok
15-866,Białystok,Białystok
15-435,Białystok,Białystok
15-619,Białystok,Białystok
15-251,Białystok,Białystok
15-141,Białystok,Białystok
15-364,Białystok,Białystok
15-339,Białystok,Białystok
15-831,Białystok,Białystok
15-652,Białystok,Białystok
15-016,Białystok,Białystok
15-312,Białystok,Białystok
15-333,Białystok,Białystok
15-246,Białystok,Białystok
15-247,Białystok,Białystok
15-448,Białystok,Białystok
15-297,Białystok,Białystok
15-298,Białystok,Białystok
15-417,Białystok,Białystok
15-244,Białystok,Białystok
15-469,Białystok,Białystok
96-512,sochaczewski,Młodzieszyn
63-405,ostrowski,Sieroszewice
62-709,turecki,Malanów
32-087,krakowski,Zielonki
29-145,włoszczowski,Secemin
33-395,nowosądecki,Chełmiec
27-532,opatowski,Wojciechowice
84-210,wejherowski,Choczewo
48-314,nyski,Pakosławice
28-133,buski,Pacanów
27-415,ostrowiecki,Kunów
68-343,żarski,Brody
38-340,gorlicki,Biecz
72-320,gryficki,Trzebiatów
37-110,leżajski,Leżajsk
11-600,węgorzewski,Węgorzewo
62-003,poznański,Suchy Las
06-213,makowski,Sypniewo
59-101,polkowicki,Polkowice
59-811,lubański,Olszyna
48-250,prudnicki,Głogówek
68-200,żarski,Żary
27-530,opatowski,Ożarów
28-440,pińczowski,Działoszyce
63-440,ostrowski,Raszków
88-200,radziejowski,Radziejów
62-305,wrzesiński,Kołaczkowo
57-400,kłodzki,Nowa Ruda
96-316,grodziski,Jaktorów
89-312,pilski,Łobżenica
11-230,bartoszycki,Bisztynek
59-540,złotoryjski,Świerzawa
26-803,białobrzeski,Promna
07-300,ostrowski,Ostrów Mazowiecka
62-550,koniński,Wilczyn
59-600,lwówecki,Lwówek Śląski
38-311,gorlicki,Gorlice
34-723,nowotarski,Raba Wyżna
95-060,brzeziński,Brzeziny
59-430,jaworski,Wądroże Wielkie
